Cycle_ID,Start_Date,End_Date,Peak_Date,Peak_Sunspot_Number,Min_Sunspot_Number,Cycle_Length_months,Rise_Time_months,Decay_Time_months,Total_months_observed,Cycle_Mean_SN,Cycle_Max_SN,Cycle_Std_SN,w12_months_available,w12_mean,w12_max,w12_min,w12_std,w12_last,w12_growth_rate,w12_slope,w12_rolling_mean_3,w12_rolling_mean_6,w12_rolling_mean_12,w12_lag1,w12_lag3,w12_lag6,w12_frac_above_median,w24_months_available,w24_mean,w24_max,w24_min,w24_std,w24_last,w24_growth_rate,w24_slope,w24_rolling_mean_3,w24_rolling_mean_6,w24_rolling_mean_12,w24_lag1,w24_lag3,w24_lag6,w24_frac_above_median,w36_months_available,w36_mean,w36_max,w36_min,w36_std,w36_last,w36_growth_rate,w36_slope,w36_rolling_mean_3,w36_rolling_mean_6,w36_rolling_mean_12,w36_lag1,w36_lag3,w36_lag6,w36_frac_above_median
1,1755-02-01,1766-06-01,1761-06-01,144.1,14.0,136.0,76.0,60.0,136,69.53455882352942,178.7,41.957886079357785,12,16.25,39.5,0.0,12.14293347314945,20.8,0.11229945923532311,1.755944055944056,21.799999999999997,23.316666666666666,16.25,20.8,11.3,5.3,0.5,24,16.729166666666668,39.5,0.0,9.763173970191366,23.5,0.25668447825216695,0.40508695652173915,22.5,20.28333333333333,17.208333333333332,23.5,28.3,10.7,0.4583333333333333,36,30.255555555555556,107.8,0.0,24.282360360791905,62.7,2.3529410506448634,1.7458687258687258,75.43333333333334,72.03333333333335,57.30833333333333,62.7,107.8,85.5,0.5
2,1766-06-01,1775-06-01,1769-09-01,193.0,18.6,108.0,39.0,69.0,108,98.95185185185184,263.7,64.78110155001937,12,28.84166666666667,71.7,5.0,23.372935143499248,49.7,8.939998212000358,6.0807692307692305,58.73333333333333,50.65,28.84166666666667,49.7,71.7,32.0,0.5,24,54.50416666666666,129.5,5.0,34.67228094562315,129.5,24.899995020000997,4.5914347826086965,92.63333333333334,94.35000000000001,80.16666666666667,129.5,77.2,88.8,0.5,36,79.14166666666665,186.3,5.0,47.26610469223984,122.7,23.539995292000942,4.161891891891892,130.3666666666667,134.6,128.41666666666666,122.7,107.2,186.3,0.5
3,1775-06-01,1784-09-01,1778-05-01,264.2,12.0,111.0,35.0,76.1,111,111.21981981981983,398.2,87.43049480464708,12,17.45,36.3,1.7,10.51891154064906,18.7,-0.08780487376561594,1.4384615384615385,21.833333333333332,22.366666666666664,17.45,18.7,10.5,13.2,0.5,24,40.775,159.2,1.7,38.49547863061323,133.8,5.526828998691268,4.3897391304347835,119.33333333333333,93.41666666666667,64.1,133.8,65.0,66.7,0.5,36,102.10277777777776,398.2,1.7,100.34754740431741,398.2,18.424389345151738,8.662355212355212,287.73333333333335,267.18333333333334,224.75833333333333,398.2,223.3,262.2,0.5
4,1784-09-01,1798-04-01,1788-02-01,235.3,15.9,163.0,41.0,122.0,163,103.2754601226994,290.0,74.94019680906108,12,26.583333333333332,60.5,10.8,14.148841727230616,33.3,0.9940119165262324,2.8664335664335665,45.86666666666667,35.55,26.583333333333332,33.3,43.8,15.0,0.5,24,61.104166666666664,153.8,10.8,44.89034305176956,149.5,7.952095332209861,5.80786956521739,128.70000000000002,126.95,95.625,149.5,98.3,79.5,0.5,36,105.875,228.7,10.8,74.54300166495995,228.7,12.694610018286825,6.778236808236809,202.4333333333333,198.28333333333333,195.41666666666666,228.7,165.3,145.7,0.5
5,1798-04-01,1810-07-01,1805-02-01,82.0,5.3,147.0,82.0,64.9,147,38.691156462585035,103.8,31.109556575066602,12,9.208333333333334,36.2,0.0,11.167621227857296,36.2,19.111100493833064,2.498951048951049,19.96666666666667,16.616666666666667,9.208333333333334,36.2,2.7,2.5,0.5,24,9.8375,36.2,0.0,9.344062843146267,23.2,11.888882283954286,0.45439130434782604,16.733333333333334,12.783333333333333,10.466666666666667,23.2,11.5,7.7,0.5,36,17.186111111111114,66.8,0.0,16.758681875668994,50.0,26.777762901242834,1.0885585585585587,47.76666666666667,41.35,31.883333333333336,50.0,45.0,20.5,0.5
6,1810-07-01,1823-05-01,1816-05-01,81.2,0.0,154.0,70.0,84.0,154,30.525324675324672,160.3,30.07266702807516,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.308333333333333,18.8,0.0,4.522804869645482,2.2,2200000.0000000005,0.23173913043478261,1.3,4.516666666666667,4.616666666666666,2.2,0.0,18.8,0.4166666666666667,36,5.6499999999999995,27.7,0.0,7.867602345484085,18.7,18700000.0,0.46043758043758043,18.53333333333333,12.666666666666666,12.333333333333334,18.7,27.7,0.0,0.5
7,1823-05-01,1833-11-01,1829-11-01,119.2,0.1,126.1,78.1,48.0,126,63.06666666666666,177.3,44.83571790436727,12,10.091666666666667,36.0,0.0,14.713455198860968,32.3,32300000.0,2.649300699300699,16.766666666666666,20.05,10.091666666666667,32.3,18.0,0.0,0.4166666666666667,24,11.816666666666668,42.0,0.0,15.297321842582626,6.2,6200000.0,0.7303478260869564,23.16666666666666,13.216666666666667,13.541666666666666,6.2,25.9,0.0,0.5,36,19.40833333333333,61.3,0.0,17.825907721939746,40.0,40000000.0,1.0972329472329472,43.833333333333336,36.199999999999996,34.59166666666666,40.0,30.2,19.6,0.5
8,1833-11-01,1843-07-01,1837-03-01,244.9,12.2,115.9,40.0,76.0,116,112.25603448275862,343.8,79.88784016824229,12,15.25,41.3,2.4,10.480179705838381,41.3,3.214285386297409,1.092307692307692,22.366666666666664,18.23333333333333,15.25,41.3,6.6,14.8,0.5,24,47.17083333333333,168.0,2.4,46.22733209518898,158.6,15.183671920033476,5.486826086956522,141.70000000000002,108.75,79.09166666666665,158.6,98.5,72.6,0.5,36,91.99999999999999,238.0,2.4,75.8752924211828,228.9,22.35714057580198,6.77984555984556,189.0,192.5333333333333,181.65833333333333,228.9,179.6,185.7,0.5
9,1843-07-01,1855-12-01,1848-02-01,219.9,17.6,149.0,55.1,94.0,149,99.48120805369128,300.6,68.47721002731741,12,18.908333333333328,34.6,6.2,8.588020564846257,6.2,-0.610062854713028,0.4353146853146853,20.0,20.45,18.908333333333335,6.2,34.6,15.7,0.5,24,34.05833333333333,95.0,6.2,23.788476143339285,51.8,2.257861493216258,2.594173913043478,75.5,69.03333333333333,49.208333333333336,51.8,95.0,42.8,0.5,36,49.56666666666667,115.5,6.2,32.28279555566538,108.4,5.81760969700568,2.7143886743886747,107.93333333333334,96.63333333333334,80.58333333333333,108.4,115.5,64.6,0.5
10,1855-12-01,1867-03-01,1860-02-01,186.2,6.0,135.0,50.0,84.9,135,92.16518518518518,221.9,60.56479239121376,12,7.558333333333334,14.7,0.0,4.563525379450507,14.7,1.5344824940547421,0.7381118881118882,10.533333333333333,10.25,7.558333333333334,14.7,8.4,9.8,0.5,24,22.995833333333334,80.6,0.0,22.840251005017922,59.6,9.27586046967923,2.7114347826086953,72.43333333333332,53.666666666666664,38.43333333333334,59.6,80.6,30.5,0.5,36,48.46666666666667,173.2,0.0,44.5900649123646,98.6,15.999997241379786,3.8779150579150587,141.33333333333334,120.18333333333334,99.40833333333335,98.6,152.2,84.5,0.5
11,1867-03-01,1878-12-01,1870-08-01,234.0,9.9,141.0,41.0,100.0,141,88.954609929078,293.6,77.99079018446189,12,18.033333333333335,47.9,2.8,11.867485926775823,26.3,0.5114942234773436,2.3587412587412584,33.36666666666667,27.066666666666666,18.033333333333335,26.3,47.9,18.7,0.5,24,46.57916666666667,112.8,2.8,34.76116102739122,99.9,4.74137903785178,4.683782608695653,104.76666666666667,99.08333333333333,75.125,99.9,112.8,78.7,0.5,36,75.5111111111111,191.7,2.8,54.48213151411192,191.7,10.01724080360685,4.789034749034749,164.9333333333333,143.08333333333331,133.375,191.7,174.1,134.5,0.5
12,1878-12-01,1890-03-01,1883-12-01,124.4,3.7,135.0,60.0,75.0,135,56.78666666666667,159.6,44.70801924794507,12,9.058333333333332,21.9,0.0,7.5534162616806855,21.9,23.333307407436212,1.9744755244755243,17.466666666666665,15.149999999999999,9.058333333333332,21.9,10.1,8.0,0.5,24,29.858333333333334,110.1,0.0,27.832728286836865,51.1,55.777715802538,3.474521739130435,77.63333333333334,67.76666666666667,50.65833333333333,51.1,110.1,56.9,0.5,36,49.258333333333326,128.2,0.0,37.428074541564236,91.5,100.66655481493908,3.326705276705276,95.8,102.28333333333335,88.05833333333334,91.5,88.6,100.8,0.5
13,1890-03-01,1902-01-01,1894-01-01,146.5,8.3,142.0,46.1,96.0,142,64.98098591549295,215.4,50.71064198340024,12,15.866666666666667,36.9,2.2,9.8154073895189,36.9,3.3411760775086967,2.1251748251748253,24.166666666666668,22.600000000000005,15.866666666666667,36.9,13.1,28.6,0.5,24,45.20416666666667,126.1,2.2,36.986421823495654,126.1,13.83529248996559,4.7087391304347825,98.53333333333332,90.18333333333334,74.54166666666667,126.1,54.3,89.7,0.5,36,70.81944444444444,169.0,2.2,48.46879190345316,121.6,13.305880787543437,4.281274131274131,125.86666666666667,118.11666666666667,122.05,121.6,131.0,104.7,0.5
14,1902-01-01,1913-07-01,1906-02-01,107.1,4.5,138.0,49.0,88.9,138,53.8695652173913,180.3,43.86914451736547,12,8.433333333333334,27.2,0.0,8.67826147464008,1.8,-0.8064515261880081,0.6195804195804197,15.399999999999999,10.683333333333332,8.433333333333334,1.8,27.2,1.5,0.5,24,24.54583333333333,76.2,0.0,22.671733119435064,76.2,7.1935476135970315,2.6854347826086955,71.73333333333333,54.68333333333334,40.65833333333333,76.2,64.8,46.4,0.5,36,39.666666666666664,97.1,0.0,29.942583945500314,91.1,8.795697978957206,2.5828828828828834,81.63333333333334,79.41666666666667,69.90833333333333,91.1,90.4,84.3,0.5
15,1913-07-01,1923-08-01,1917-08-01,175.7,2.5,121.0,49.0,72.0,121,73.33719008264464,257.7,57.55066627507656,12,7.425,28.9,0.4,7.981345437957186,19.1,5.586204970274149,1.5723776223776222,18.900000000000002,11.85,7.425,19.1,28.9,4.7,0.5,24,25.958333333333332,114.7,0.4,28.761692066976096,114.7,38.55171084423764,3.499391304347826,79.56666666666666,68.73333333333333,44.49166666666667,114.7,68.9,38.5,0.5,36,49.85000000000001,124.0,0.4,42.988438368162825,112.9,37.93102140309607,3.751454311454312,118.89999999999999,106.05000000000001,97.63333333333334,112.9,119.8,75.5,0.5
16,1923-08-01,1933-09-01,1928-04-01,130.2,9.3,121.0,56.0,65.0,121,68.23388429752066,179.9,47.48709395495266,12,18.033333333333335,46.9,0.8,15.007794271274141,46.9,57.62492796884003,2.7545454545454544,40.5,25.316666666666663,18.033333333333335,46.9,34.6,8.5,0.5,24,30.974999999999998,79.1,0.8,21.50568238861534,64.2,79.24990093762383,2.3995652173913045,71.56666666666666,56.050000000000004,43.916666666666664,64.2,71.4,38.6,0.5,36,55.70555555555556,164.4,0.8,41.90593927969615,87.2,107.99986500016875,3.467052767052767,105.53333333333335,100.23333333333335,105.16666666666667,87.2,107.0,116.4,0.5
