Date,Year,Month,SN,SN_clean,StdDev,Observations,Provisional
1749-01-01,1749,1,96.7,96.7,-1.0,-1,1
1749-02-01,1749,2,104.3,104.3,-1.0,-1,1
1749-03-01,1749,3,116.7,116.7,-1.0,-1,1
1749-04-01,1749,4,92.8,92.8,-1.0,-1,1
1749-05-01,1749,5,141.7,141.7,-1.0,-1,1
1749-06-01,1749,6,139.2,139.2,-1.0,-1,1
1749-07-01,1749,7,158.0,158.0,-1.0,-1,1
1749-08-01,1749,8,110.5,110.5,-1.0,-1,1
1749-09-01,1749,9,126.5,126.5,-1.0,-1,1
1749-10-01,1749,10,125.8,125.8,-1.0,-1,1
1749-11-01,1749,11,264.3,264.3,-1.0,-1,1
1749-12-01,1749,12,142.0,142.0,-1.0,-1,1
1750-01-01,1750,1,122.2,122.2,-1.0,-1,1
1750-02-01,1750,2,126.5,126.5,-1.0,-1,1
1750-03-01,1750,3,148.7,148.7,-1.0,-1,1
1750-04-01,1750,4,147.2,147.2,-1.0,-1,1
1750-05-01,1750,5,150.0,150.0,-1.0,-1,1
1750-06-01,1750,6,166.7,166.7,-1.0,-1,1
1750-07-01,1750,7,142.3,142.3,-1.0,-1,1
1750-08-01,1750,8,171.7,171.7,-1.0,-1,1
1750-09-01,1750,9,152.0,152.0,-1.0,-1,1
1750-10-01,1750,10,109.5,109.5,-1.0,-1,1
1750-11-01,1750,11,105.5,105.5,-1.0,-1,1
1750-12-01,1750,12,125.7,125.7,-1.0,-1,1
1751-01-01,1751,1,116.7,116.7,-1.0,-1,1
1751-02-01,1751,2,72.5,72.5,-1.0,-1,1
1751-03-01,1751,3,75.5,75.5,-1.0,-1,1
1751-04-01,1751,4,94.0,94.0,-1.0,-1,1
1751-05-01,1751,5,101.2,101.2,-1.0,-1,1
1751-06-01,1751,6,84.5,84.5,-1.0,-1,1
1751-07-01,1751,7,110.5,110.5,-1.0,-1,1
1751-08-01,1751,8,99.7,99.7,-1.0,-1,1
1751-09-01,1751,9,39.2,39.2,-1.0,-1,1
1751-10-01,1751,10,38.7,38.7,-1.0,-1,1
1751-11-01,1751,11,47.5,47.5,-1.0,-1,1
1751-12-01,1751,12,73.3,73.3,-1.0,-1,1
1752-01-01,1752,1,58.3,58.3,-1.0,-1,1
1752-02-01,1752,2,83.3,83.3,-1.0,-1,1
1752-03-01,1752,3,118.3,118.3,-1.0,-1,1
1752-04-01,1752,4,98.8,98.8,-1.0,-1,1
1752-05-01,1752,5,99.5,99.5,-1.0,-1,1
1752-06-01,1752,6,66.0,66.0,-1.0,-1,1
1752-07-01,1752,7,130.7,130.7,-1.0,-1,1
1752-08-01,1752,8,48.8,48.8,-1.0,-1,1
1752-09-01,1752,9,45.2,45.2,-1.0,-1,1
1752-10-01,1752,10,77.7,77.7,-1.0,-1,1
1752-11-01,1752,11,62.7,62.7,-1.0,-1,1
1752-12-01,1752,12,66.7,66.7,-1.0,-1,1
1753-01-01,1753,1,73.3,73.3,-1.0,-1,1
1753-02-01,1753,2,53.3,53.3,-1.0,-1,1
1753-03-01,1753,3,76.2,76.2,-1.0,-1,1
1753-04-01,1753,4,63.3,63.3,-1.0,-1,1
1753-05-01,1753,5,60.0,60.0,-1.0,-1,1
1753-06-01,1753,6,52.8,52.8,-1.0,-1,1
1753-07-01,1753,7,36.7,36.7,-1.0,-1,1
1753-08-01,1753,8,65.0,65.0,-1.0,-1,1
1753-09-01,1753,9,46.7,46.7,-1.0,-1,1
1753-10-01,1753,10,41.7,41.7,-1.0,-1,1
1753-11-01,1753,11,33.3,33.3,-1.0,-1,1
1753-12-01,1753,12,11.2,11.2,-1.0,-1,1
1754-01-01,1754,1,0.0,0.0,-1.0,-1,1
1754-02-01,1754,2,5.0,5.0,-1.0,-1,1
1754-03-01,1754,3,2.8,2.8,-1.0,-1,1
1754-04-01,1754,4,22.8,22.8,-1.0,-1,1
1754-05-01,1754,5,34.5,34.5,-1.0,-1,1
1754-06-01,1754,6,44.5,44.5,-1.0,-1,1
1754-07-01,1754,7,31.3,31.3,-1.0,-1,1
1754-08-01,1754,8,20.5,20.5,-1.0,-1,1
1754-09-01,1754,9,13.7,13.7,-1.0,-1,1
1754-10-01,1754,10,40.2,40.2,-1.0,-1,1
1754-11-01,1754,11,22.0,22.0,-1.0,-1,1
1754-12-01,1754,12,7.0,7.0,-1.0,-1,1
1755-01-01,1755,1,17.0,17.0,-1.0,-1,1
1755-02-01,1755,2,18.7,18.7,-1.0,-1,1
1755-03-01,1755,3,11.3,11.3,-1.0,-1,1
1755-04-01,1755,4,10.8,10.8,-1.0,-1,1
1755-05-01,1755,5,0.0,0.0,-1.0,-1,1
1755-06-01,1755,6,0.0,0.0,-1.0,-1,1
1755-07-01,1755,7,14.3,14.3,-1.0,-1,1
1755-08-01,1755,8,5.3,5.3,-1.0,-1,1
1755-09-01,1755,9,29.7,29.7,-1.0,-1,1
1755-10-01,1755,10,39.5,39.5,-1.0,-1,1
1755-11-01,1755,11,11.3,11.3,-1.0,-1,1
1755-12-01,1755,12,33.3,33.3,-1.0,-1,1
1756-01-01,1756,1,20.8,20.8,-1.0,-1,1
1756-02-01,1756,2,11.8,11.8,-1.0,-1,1
1756-03-01,1756,3,9.0,9.0,-1.0,-1,1
1756-04-01,1756,4,15.7,15.7,-1.0,-1,1
1756-05-01,1756,5,20.8,20.8,-1.0,-1,1
1756-06-01,1756,6,21.5,21.5,-1.0,-1,1
1756-07-01,1756,7,6.0,6.0,-1.0,-1,1
1756-08-01,1756,8,10.7,10.7,-1.0,-1,1
1756-09-01,1756,9,19.7,19.7,-1.0,-1,1
1756-10-01,1756,10,23.8,23.8,-1.0,-1,1
1756-11-01,1756,11,28.3,28.3,-1.0,-1,1
1756-12-01,1756,12,15.7,15.7,-1.0,-1,1
1757-01-01,1757,1,23.5,23.5,-1.0,-1,1
1757-02-01,1757,2,35.3,35.3,-1.0,-1,1
1757-03-01,1757,3,43.7,43.7,-1.0,-1,1
1757-04-01,1757,4,50.0,50.0,-1.0,-1,1
1757-05-01,1757,5,63.5,63.5,-1.0,-1,1
1757-06-01,1757,6,21.3,21.3,-1.0,-1,1
1757-07-01,1757,7,41.7,41.7,-1.0,-1,1
1757-08-01,1757,8,85.5,85.5,-1.0,-1,1
1757-09-01,1757,9,66.2,66.2,-1.0,-1,1
1757-10-01,1757,10,54.2,54.2,-1.0,-1,1
1757-11-01,1757,11,107.8,107.8,-1.0,-1,1
1757-12-01,1757,12,55.8,55.8,-1.0,-1,1
1758-01-01,1758,1,62.7,62.7,-1.0,-1,1
1758-02-01,1758,2,86.7,86.7,-1.0,-1,1
1758-03-01,1758,3,81.7,81.7,-1.0,-1,1
1758-04-01,1758,4,120.5,120.5,-1.0,-1,1
1758-05-01,1758,5,77.3,77.3,-1.0,-1,1
1758-06-01,1758,6,75.0,75.0,-1.0,-1,1
1758-07-01,1758,7,73.3,73.3,-1.0,-1,1
1758-08-01,1758,8,64.5,64.5,-1.0,-1,1
1758-09-01,1758,9,104.2,104.2,-1.0,-1,1
1758-10-01,1758,10,62.8,62.8,-1.0,-1,1
1758-11-01,1758,11,71.7,71.7,-1.0,-1,1
1758-12-01,1758,12,71.7,71.7,-1.0,-1,1
1759-01-01,1759,1,80.5,80.5,-1.0,-1,1
1759-02-01,1759,2,73.3,73.3,-1.0,-1,1
1759-03-01,1759,3,78.0,78.0,-1.0,-1,1
1759-04-01,1759,4,78.3,78.3,-1.0,-1,1
1759-05-01,1759,5,81.7,81.7,-1.0,-1,1
1759-06-01,1759,6,83.3,83.3,-1.0,-1,1
1759-07-01,1759,7,85.0,85.0,-1.0,-1,1
1759-08-01,1759,8,118.8,118.8,-1.0,-1,1
1759-09-01,1759,9,128.7,128.7,-1.0,-1,1
1759-10-01,1759,10,99.5,99.5,-1.0,-1,1
1759-11-01,1759,11,77.2,77.2,-1.0,-1,1
1759-12-01,1759,12,95.0,95.0,-1.0,-1,1
1760-01-01,1760,1,112.2,112.2,-1.0,-1,1
1760-02-01,1760,2,99.2,99.2,-1.0,-1,1
1760-03-01,1760,3,124.5,124.5,-1.0,-1,1
1760-04-01,1760,4,97.2,97.2,-1.0,-1,1
1760-05-01,1760,5,120.0,120.0,-1.0,-1,1
1760-06-01,1760,6,80.5,80.5,-1.0,-1,1
1760-07-01,1760,7,110.0,110.0,-1.0,-1,1
1760-08-01,1760,8,126.0,126.0,-1.0,-1,1
1760-09-01,1760,9,102.2,102.2,-1.0,-1,1
1760-10-01,1760,10,84.3,84.3,-1.0,-1,1
1760-11-01,1760,11,99.5,99.5,-1.0,-1,1
1760-12-01,1760,12,101.7,101.7,-1.0,-1,1
1761-01-01,1761,1,116.7,116.7,-1.0,-1,1
1761-02-01,1761,2,151.7,151.7,-1.0,-1,1
1761-03-01,1761,3,134.5,134.5,-1.0,-1,1
1761-04-01,1761,4,119.5,119.5,-1.0,-1,1
1761-05-01,1761,5,178.7,178.7,-1.0,-1,1
1761-06-01,1761,6,165.5,165.5,-1.0,-1,1
1761-07-01,1761,7,156.8,156.8,-1.0,-1,1
1761-08-01,1761,8,151.8,151.8,-1.0,-1,1
1761-09-01,1761,9,167.8,167.8,-1.0,-1,1
1761-10-01,1761,10,147.8,147.8,-1.0,-1,1
1761-11-01,1761,11,149.5,149.5,-1.0,-1,1
1761-12-01,1761,12,76.7,76.7,-1.0,-1,1
1762-01-01,1762,1,73.0,73.0,-1.0,-1,1
1762-02-01,1762,2,121.3,121.3,-1.0,-1,1
1762-03-01,1762,3,76.2,76.2,-1.0,-1,1
1762-04-01,1762,4,100.3,100.3,-1.0,-1,1
1762-05-01,1762,5,66.5,66.5,-1.0,-1,1
1762-06-01,1762,6,128.5,128.5,-1.0,-1,1
1762-07-01,1762,7,56.3,56.3,-1.0,-1,1
1762-08-01,1762,8,112.8,112.8,-1.0,-1,1
1762-09-01,1762,9,114.2,114.2,-1.0,-1,1
1762-10-01,1762,10,115.5,115.5,-1.0,-1,1
1762-11-01,1762,11,129.7,129.7,-1.0,-1,1
1762-12-01,1762,12,128.7,128.7,-1.0,-1,1
1763-01-01,1763,1,94.2,94.2,-1.0,-1,1
1763-02-01,1763,2,53.2,53.2,-1.0,-1,1
1763-03-01,1763,3,57.0,57.0,-1.0,-1,1
1763-04-01,1763,4,54.8,54.8,-1.0,-1,1
1763-05-01,1763,5,54.5,54.5,-1.0,-1,1
1763-06-01,1763,6,59.7,59.7,-1.0,-1,1
1763-07-01,1763,7,90.3,90.3,-1.0,-1,1
1763-08-01,1763,8,44.2,44.2,-1.0,-1,1
1763-09-01,1763,9,113.5,113.5,-1.0,-1,1
1763-10-01,1763,10,77.2,77.2,-1.0,-1,1
1763-11-01,1763,11,101.5,101.5,-1.0,-1,1
1763-12-01,1763,12,102.3,102.3,-1.0,-1,1
1764-01-01,1764,1,99.5,99.5,-1.0,-1,1
1764-02-01,1764,2,99.5,99.5,-1.0,-1,1
1764-03-01,1764,3,67.0,67.0,-1.0,-1,1
1764-04-01,1764,4,57.3,57.3,-1.0,-1,1
1764-05-01,1764,5,73.8,73.8,-1.0,-1,1
1764-06-01,1764,6,50.0,50.0,-1.0,-1,1
1764-07-01,1764,7,50.0,50.0,-1.0,-1,1
1764-08-01,1764,8,50.0,50.0,-1.0,-1,1
1764-09-01,1764,9,47.0,47.0,-1.0,-1,1
1764-10-01,1764,10,46.7,46.7,-1.0,-1,1
1764-11-01,1764,11,43.3,43.3,-1.0,-1,1
1764-12-01,1764,12,42.8,42.8,-1.0,-1,1
1765-01-01,1765,1,40.0,40.0,-1.0,-1,1
1765-02-01,1765,2,43.3,43.3,-1.0,-1,1
1765-03-01,1765,3,41.7,41.7,-1.0,-1,1
1765-04-01,1765,4,36.7,36.7,-1.0,-1,1
1765-05-01,1765,5,33.7,33.7,-1.0,-1,1
1765-06-01,1765,6,33.3,33.3,-1.0,-1,1
1765-07-01,1765,7,45.0,45.0,-1.0,-1,1
1765-08-01,1765,8,49.5,49.5,-1.0,-1,1
1765-09-01,1765,9,26.7,26.7,-1.0,-1,1
1765-10-01,1765,10,23.3,23.3,-1.0,-1,1
1765-11-01,1765,11,23.3,23.3,-1.0,-1,1
1765-12-01,1765,12,21.7,21.7,-1.0,-1,1
1766-01-01,1766,1,20.0,20.0,-1.0,-1,1
1766-02-01,1766,2,18.3,18.3,-1.0,-1,1
1766-03-01,1766,3,61.0,61.0,-1.0,-1,1
1766-04-01,1766,4,10.0,10.0,-1.0,-1,1
1766-05-01,1766,5,44.7,44.7,-1.0,-1,1
1766-06-01,1766,6,5.0,5.0,-1.0,-1,1
1766-07-01,1766,7,5.5,5.5,-1.0,-1,1
1766-08-01,1766,8,6.7,6.7,-1.0,-1,1
1766-09-01,1766,9,7.2,7.2,-1.0,-1,1
1766-10-01,1766,10,8.3,8.3,-1.0,-1,1
1766-11-01,1766,11,9.5,9.5,-1.0,-1,1
1766-12-01,1766,12,32.0,32.0,-1.0,-1,1
1767-01-01,1767,1,45.7,45.7,-1.0,-1,1
1767-02-01,1767,2,50.0,50.0,-1.0,-1,1
1767-03-01,1767,3,71.7,71.7,-1.0,-1,1
1767-04-01,1767,4,54.8,54.8,-1.0,-1,1
1767-05-01,1767,5,49.7,49.7,-1.0,-1,1
1767-06-01,1767,6,55.5,55.5,-1.0,-1,1
1767-07-01,1767,7,36.5,36.5,-1.0,-1,1
1767-08-01,1767,8,68.0,68.0,-1.0,-1,1
1767-09-01,1767,9,71.2,71.2,-1.0,-1,1
1767-10-01,1767,10,73.5,73.5,-1.0,-1,1
1767-11-01,1767,11,91.2,91.2,-1.0,-1,1
1767-12-01,1767,12,88.8,88.8,-1.0,-1,1
1768-01-01,1768,1,89.2,89.2,-1.0,-1,1
1768-02-01,1768,2,110.2,110.2,-1.0,-1,1
1768-03-01,1768,3,77.2,77.2,-1.0,-1,1
1768-04-01,1768,4,71.2,71.2,-1.0,-1,1
1768-05-01,1768,5,129.5,129.5,-1.0,-1,1
1768-06-01,1768,6,129.0,129.0,-1.0,-1,1
1768-07-01,1768,7,87.7,87.7,-1.0,-1,1
1768-08-01,1768,8,111.3,111.3,-1.0,-1,1
1768-09-01,1768,9,124.7,124.7,-1.0,-1,1
1768-10-01,1768,10,129.7,129.7,-1.0,-1,1
1768-11-01,1768,11,151.0,151.0,-1.0,-1,1
1768-12-01,1768,12,186.3,186.3,-1.0,-1,1
1769-01-01,1769,1,123.2,123.2,-1.0,-1,1
1769-02-01,1769,2,107.0,107.0,-1.0,-1,1
1769-03-01,1769,3,107.2,107.2,-1.0,-1,1
1769-04-01,1769,4,161.2,161.2,-1.0,-1,1
1769-05-01,1769,5,122.7,122.7,-1.0,-1,1
1769-06-01,1769,6,157.3,157.3,-1.0,-1,1
1769-07-01,1769,7,197.7,197.7,-1.0,-1,1
1769-08-01,1769,8,200.5,200.5,-1.0,-1,1
1769-09-01,1769,9,248.0,248.0,-1.0,-1,1
1769-10-01,1769,10,263.7,263.7,-1.0,-1,1
1769-11-01,1769,11,246.8,246.8,-1.0,-1,1
1769-12-01,1769,12,186.7,186.7,-1.0,-1,1
1770-01-01,1770,1,173.3,173.3,-1.0,-1,1
1770-02-01,1770,2,237.5,237.5,-1.0,-1,1
1770-03-01,1770,3,133.5,133.5,-1.0,-1,1
1770-04-01,1770,4,85.0,85.0,-1.0,-1,1
1770-05-01,1770,5,116.8,116.8,-1.0,-1,1
1770-06-01,1770,6,138.8,138.8,-1.0,-1,1
1770-07-01,1770,7,183.0,183.0,-1.0,-1,1
1770-08-01,1770,8,210.5,210.5,-1.0,-1,1
