Cycle_ID,actual_peak_mag,pred_peak_mag,mag_error,mag_abs_error,actual_peak_month,pred_peak_month,time_error,time_abs_error
1,178.7,121.79104614257812,-56.908953857421864,56.908953857421864,76,62,-14,14
2,263.7,168.690673828125,-95.00932617187499,95.00932617187499,41,45,4,4
3,398.2,295.0924072265625,-103.10759277343749,103.10759277343749,36,40,4,4
4,290.0,240.74746704101562,-49.252532958984375,49.252532958984375,40,45,5,5
5,103.8,126.58118438720703,22.781184387207034,22.781184387207034,79,62,-17,17
6,160.3,119.71387481689453,-40.58612518310548,40.58612518310548,81,62,-19,19
7,177.3,116.01067352294922,-61.28932647705079,61.28932647705079,84,62,-22,22
8,343.8,237.55596923828125,-106.24403076171876,106.24403076171876,38,40,2,2
9,300.6,139.22557067871094,-161.37442932128909,161.37442932128909,52,62,10,10
10,221.9,154.39962768554688,-67.50037231445313,67.50037231445313,56,62,6,6
11,293.6,182.6382598876953,-110.96174011230471,110.96174011230471,39,40,1,1
12,159.6,158.70315551757812,-0.8968444824218693,0.8968444824218693,41,45,4,4
13,215.4,171.44529724121094,-43.95470275878907,43.95470275878907,42,40,-2,2
14,180.3,132.0010223388672,-48.298977661132824,48.298977661132824,62,62,0,0
15,257.7,147.00628662109375,-110.69371337890624,110.69371337890624,50,62,12,12
16,179.9,147.3950653076172,-32.50493469238282,32.50493469238282,77,40,-37,37
17,275.6,152.29779052734375,-123.30220947265627,123.30220947265627,59,62,3,3
18,285.0,225.31690979003906,-59.68309020996094,59.68309020996094,40,45,5,5
19,359.4,286.8268127441406,-72.57318725585935,72.57318725585935,43,40,-3,3
20,192.3,163.10086059570312,-29.199139404296886,29.199139404296886,54,45,-9,9
21,266.9,201.5678253173828,-65.33217468261716,65.33217468261716,43,40,-3,3
22,284.5,279.2992248535156,-5.200775146484375,5.200775146484375,34,40,6,6
23,244.3,165.2559051513672,-79.04409484863282,79.04409484863282,48,45,-3,3
24,146.1,146.3098907470703,0.20989074707031818,0.20989074707031818,63,62,-1,1
