Cycle_ID,actual_peak_mag,pred_peak_mag,mag_error,mag_abs_error,actual_peak_month,pred_peak_month,time_error,time_abs_error
1,178.7,126.97218322753906,-51.727816772460926,51.727816772460926,76,62,-14,14
2,263.7,189.06179809570312,-74.63820190429686,74.63820190429686,41,40,-1,1
3,398.2,293.72265625,-104.47734374999999,104.47734374999999,36,40,4,4
4,290.0,260.6253967285156,-29.374603271484375,29.374603271484375,40,45,5,5
5,103.8,101.72651672363281,-2.0734832763671847,2.0734832763671847,79,67,-12,12
6,160.3,122.95463562011719,-37.345364379882824,37.345364379882824,81,62,-19,19
7,177.3,105.75015258789062,-71.54984741210939,71.54984741210939,84,81,-3,3
8,343.8,247.5131378173828,-96.2868621826172,96.2868621826172,38,40,2,2
9,300.6,138.19601440429688,-162.40398559570315,162.40398559570315,52,40,-12,12
10,221.9,145.2053985595703,-76.6946014404297,76.6946014404297,56,62,6,6
11,293.6,187.92478942871094,-105.67521057128909,105.67521057128909,39,40,1,1
12,159.6,148.80520629882812,-10.79479370117187,10.79479370117187,41,45,4,4
13,215.4,193.29629516601562,-22.10370483398438,22.10370483398438,42,40,-2,2
14,180.3,124.42642211914062,-55.873577880859386,55.873577880859386,62,50,-12,12
15,257.7,148.55514526367188,-109.14485473632811,109.14485473632811,50,62,12,12
16,179.9,154.1083221435547,-25.791677856445318,25.791677856445318,77,45,-32,32
17,275.6,143.59051513671875,-132.00948486328127,132.00948486328127,59,45,-14,14
18,285.0,212.86997985839844,-72.13002014160156,72.13002014160156,40,45,5,5
19,359.4,282.3646240234375,-77.03537597656248,77.03537597656248,43,40,-3,3
20,192.3,171.15127563476562,-21.148724365234386,21.148724365234386,54,45,-9,9
21,266.9,212.62620544433594,-54.27379455566404,54.27379455566404,43,40,-3,3
22,284.5,264.5499267578125,-19.9500732421875,19.9500732421875,34,40,6,6
23,244.3,172.89691162109375,-71.40308837890626,71.40308837890626,48,40,-8,8
24,146.1,137.70620727539062,-8.39379272460937,8.39379272460937,63,62,-1,1
