Cycle_ID,actual_peak_mag,pred_peak_mag,mag_error,mag_abs_error,actual_peak_month,pred_peak_month,time_error,time_abs_error
1,178.7,132.63369750976562,-46.066302490234364,46.066302490234364,76,62,-14,14
2,263.7,209.0516357421875,-54.64836425781249,54.64836425781249,41,40,-1,1
3,398.2,253.5198974609375,-144.6801025390625,144.6801025390625,36,40,4,4
4,290.0,287.2735900878906,-2.726409912109375,2.726409912109375,40,45,5,5
5,103.8,127.38949584960938,23.589495849609378,23.589495849609378,79,62,-17,17
6,160.3,121.21493530273438,-39.085064697265636,39.085064697265636,81,62,-19,19
7,177.3,113.78486633300781,-63.5151336669922,63.5151336669922,84,69,-15,15
8,343.8,239.69764709472656,-104.10235290527345,104.10235290527345,38,40,2,2
9,300.6,141.02072143554688,-159.57927856445315,159.57927856445315,52,62,10,10
10,221.9,154.2552947998047,-67.64470520019532,67.64470520019532,56,62,6,6
11,293.6,185.9766082763672,-107.62339172363284,107.62339172363284,39,40,1,1
12,159.6,149.25289916992188,-10.34710083007812,10.34710083007812,41,62,21,21
13,215.4,191.79725646972656,-23.602743530273443,23.602743530273443,42,45,3,3
14,180.3,139.58924865722656,-40.71075134277345,40.71075134277345,62,62,0,0
15,257.7,140.7347869873047,-116.9652130126953,116.9652130126953,50,45,-5,5
16,179.9,150.5000762939453,-29.399923706054693,29.399923706054693,77,62,-15,15
17,275.6,144.55136108398438,-131.04863891601565,131.04863891601565,59,62,3,3
18,285.0,194.17234802246094,-90.82765197753906,90.82765197753906,40,40,0,0
19,359.4,286.2696228027344,-73.1303771972656,73.1303771972656,43,40,-3,3
20,192.3,169.39620971679688,-22.903790283203136,22.903790283203136,54,45,-9,9
21,266.9,176.73175048828125,-90.16824951171873,90.16824951171873,43,39,-4,4
22,284.5,270.7295227050781,-13.770477294921875,13.770477294921875,34,40,6,6
23,244.3,162.06541442871094,-82.23458557128907,82.23458557128907,48,45,-3,3
24,146.1,140.10020446777344,-5.999795532226557,5.999795532226557,63,62,-1,1
